"No delivery date available.","No delivery date available."
"Estimated Delivery Date","Estimated Delivery Date"
"Module Options","Module Options"
"Enabled:","Enabled:"
"Exclude Days:","Exclude Days:"
"Custom Text:","Custom Text:"
"Use %date% to insert estimated date","Use %date% to insert estimated date"
"Display the estimated date in the cart:","Display the estimated date in the cart:"
"Date format:","Date format:"
"This product will be delivered on %date%","This product will be delivered on %date%"
"iKantam's EstimatedDeliveryDate Section","iKantam's EstimatedDeliveryDate Section"
"Estimated Delivery Date: %s","Estimated Delivery Date: %s"
